class,odor,stalk-surface-above-ring,stalk-surface-below-ring,bruises,gill-size,ring-type,spore-print-color,gill-size
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,n,p,u,n
e,l,s,y,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,a,s,y,t,b,p,n,b
e,n,f,s,f,b,e,n,b
p,p,s,s,t,n,p,k,n
e,n,s,s,f,n,p,n,n
e,n,s,s,f,b,e,n,b
e,l,s,y,t,b,p,k,b
e,n,s,s,f,b,e,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,n,s,s,f,n,p,n,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,b,e,n,b
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,f,s,f,b,e,k,b
e,l,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,a,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,l,s,y,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,k,b
e,l,s,s,t,n,p,u,n
e,n,s,s,f,n,p,n,n
p,p,s,s,t,n,p,k,n
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,n,s,s,f,b,e,n,b
e,l,s,s,t,b,p,n,b
e,n,s,f,f,b,e,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,b,e,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,n,p,n,n
p,p,s,s,t,n,p,n,n
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,a,s,y,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,f,f,f,b,e,k,b
e,n,s,f,f,b,e,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,f,s,f,b,e,n,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,a,s,s,t,n,p,u,n
e,l,s,y,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,n,s,s,f,n,p,n,n
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,n,s,f,f,b,e,k,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,f,s,f,b,e,k,b
e,l,s,y,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,n,p,n,n
e,n,s,s,f,n,p,n,n
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
p,p,s,s,t,n,p,k,n
e,l,s,y,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,n,p,u,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,n,f,s,f,b,e,k,b
e,a,s,y,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,n,s,s,f,n,p,n,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
e,n,s,s,f,n,p,k,n
e,n,s,s,f,b,e,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,b,e,k,b
e,l,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,f,f,f,b,e,k,b
e,a,s,s,t,n,p,n,n
p,p,s,s,t,n,p,k,n
e,n,f,s,f,b,e,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,n,s,s,f,b,e,n,b
e,l,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,n,s,f,f,b,e,n,b
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,n,s,f,f,b,e,k,b
e,n,s,s,f,n,p,n,n
e,n,f,f,f,b,e,n,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,a,s,y,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,n,s,f,f,b,e,n,b
e,n,f,f,f,b,e,k,b
e,n,f,s,f,b,e,k,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,a,s,s,t,b,p,n,b
e,n,s,s,f,b,e,k,b
e,a,s,y,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,n,f,s,f,b,e,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,l,s,y,t,b,p,k,b
e,n,s,s,f,b,e,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,a,s,y,t,b,p,k,b
e,n,f,f,f,b,e,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,n,f,f,f,b,e,k,b
e,l,s,y,t,b,p,n,b
e,l,s,y,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
e,n,f,f,f,b,e,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,n,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,n,f,f,f,b,e,k,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
e,a,s,s,t,n,p,u,n
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,n,s,f,f,b,e,k,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,n,p,u,n
e,n,s,s,f,n,p,k,n
e,l,s,s,t,n,p,n,n
e,n,s,s,f,n,p,k,n
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,n,p,u,n
e,n,s,s,f,n,p,k,n
e,a,s,s,t,n,p,n,n
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,a,s,s,t,n,p,u,n
p,p,s,s,t,n,p,n,n
p,p,s,s,t,n,p,n,n
e,l,s,y,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,f,s,f,b,e,n,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,n,s,s,f,b,e,n,b
e,n,f,s,f,b,e,n,b
e,a,s,s,t,n,p,n,n
e,n,s,s,f,n,p,n,n
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,k,b
e,a,s,s,t,n,p,u,n
e,n,s,s,f,n,p,n,n
e,n,s,s,f,n,p,n,n
e,n,f,s,f,b,e,n,b
e,l,s,y,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,y,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,n,f,s,f,b,e,k,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,n,s,f,f,b,e,k,b
p,p,s,s,t,n,p,n,n
e,a,s,y,t,b,p,k,b
e,n,s,s,f,b,e,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,s,t,n,p,u,n
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,n,f,s,f,b,e,n,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,n,p,u,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,a,s,s,t,n,p,u,n
e,n,f,s,f,b,e,k,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
e,a,s,s,t,b,p,n,b
e,n,s,f,f,b,e,k,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,n,s,s,f,n,p,k,n
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,n,s,f,f,b,e,k,b
e,l,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
p,p,s,s,t,n,p,k,n
e,n,s,f,f,b,e,n,b
e,l,s,y,t,b,p,n,b
e,n,f,f,f,b,e,n,b
e,l,s,y,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,n,s,f,f,b,e,n,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,n,f,s,f,b,e,n,b
e,n,s,f,f,b,e,n,b
e,n,s,f,f,b,e,k,b
p,p,s,s,t,n,p,n,n
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,b,e,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,n,p,u,n
e,a,s,y,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,l,s,s,t,b,p,k,b
e,l,s,s,t,n,p,u,n
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,b,e,n,b
e,a,s,s,t,b,p,k,b
e,n,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,b,e,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
p,p,s,s,t,n,p,k,n
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,n,b
e,n,s,s,f,b,e,n,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
p,p,s,s,t,n,p,k,n
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,y,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,n,n
e,n,s,s,f,b,e,k,b
e,l,s,s,t,n,p,u,n
e,l,s,y,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,a,s,s,t,b,p,k,b
e,n,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,n,f,s,f,b,e,n,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,n,b
p,p,s,s,t,n,p,k,n
p,p,s,s,t,n,p,n,n
e,n,f,s,f,b,e,n,b
p,p,s,s,t,n,p,k,n
e,n,s,f,f,b,e,n,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,n,f,f,f,b,e,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,a,s,y,t,b,p,n,b
e,n,s,s,f,n,p,k,n
e,a,s,y,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,s,t,n,p,n,n
e,n,s,s,f,b,e,n,b
e,a,s,y,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,l,s,s,t,b,p,n,b
e,n,f,s,f,b,e,n,b
e,a,s,s,t,b,p,n,b
e,l,s,s,t,b,p,k,b
e,l,s,y,t,b,p,k,b
e,n,f,s,f,b,e,n,b
p,p,s,s,t,n,p,n,n
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,n,p,n,n
p,p,s,s,t,n,p,k,n
e,l,s,s,t,b,p,k,b
e,n,s,s,f,n,p,k,n
e,n,s,s,f,n,p,k,n
e,a,s,s,t,b,p,k,b
e,a,s,y,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,l,s,y,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
p,p,s,s,t,n,p,n,n
e,a,s,s,t,n,p,u,n
e,a,s,y,t,b,p,n,b
e,l,s,s,t,b,p,n,b
e,a,s,s,t,n,p,u,n
e,l,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,l,s,y,t,b,p,n,b
e,n,f,f,f,b,e,n,b
e,a,s,s,t,b,p,n,b
e,a,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,l,s,y,t,b,p,k,b
e,l,s,s,t,b,p,n,b
e,n,s,s,f,n,p,n,n
e,l,s,y,t,b,p,k,b
e,n,s,f,f,b,e,k,b
e,l,s,s,t,n,p,n,n
e,n,s,s,f,n,p,n,n
e,a,s,s,t,b,p,n,b
e,a,s,s,t,b,p,k,b
e,a,s,s,t,b,p,n,b
